Time(ms),Roll(Rads),Pitch(Rads),Yaw(Rads),VelX(m/s),VelY(m/s),VelZ(m/s),AccX(mm/s^2),AccY(mm/s^2),AccZ(mm/s^2),Altitude(cm),,,Stationary test 21/02/2016
13947,0.00986111,-0.008901179,0.03148574,0,0,0,-7.615241,37.28787,-1003.494,0,,,
14012,0.009878563,-0.008918632,0.03152065,0,0,0,-8.056147,35.19415,-1002.563,0,,,
14077,0.00980875,-0.008831366,0.0315381,0,0,0,-7.751388,37.56192,-1003.766,0,,,
14142,0.009843657,-0.008883726,0.03155555,0,0,0,-8.122014,37.77877,-996.0996,0,,,
14207,0.009756391,-0.008901179,0.03157301,0,0,0,-8.035799,37.30862,-1005.532,0,,,
14272,0.009686577,-0.008970993,0.03160791,0,0,0,-7.973244,37.33625,-1003.677,0,,,
14337,0.009581858,-0.008918632,0.03160791,0,0,0,-7.460224,37.68346,-996.791,0,,,
14402,0.009564403,-0.008936086,0.03160791,0,0,0,-6.693289,31.94597,-996.6206,0,,,
14467,0.009512044,-0.008988446,0.03164282,0,0,0,-8.080994,37.14004,-997.0957,0,,,
14532,0.009477138,-0.009040806,0.03166027,0,0,0,-4.584805,37.52626,-996.6265,0,,,
14597,0.009442232,-0.009058258,0.03166027,0,0,0,-8.137741,37.43097,-996.6377,0,,,
14662,0.009459685,-0.009093165,0.03167773,0,0,0,-8.386292,28.75233,-1004.26,0,,,
14727,0.009564403,-0.009110619,0.03167773,0,0,0,-8.049588,37.11437,-1002.798,0,,,
14793,0.009512044,-0.009145525,0.03171263,0,0,0,-8.237292,33.96742,-995.8867,0,,,
14858,0.009477138,-0.009162978,0.03171263,0,0,0,-7.972753,37.28237,-996.6743,0,,,
14922,0.009459685,-0.009232791,0.03173009,0,0,0,-8.052813,37.94984,-1003.152,0,,,
14988,0.009494592,-0.009232791,0.03176499,0,0,0,-8.056746,38.45728,-996.6294,0,,,
15052,0.009424779,-0.009267699,0.03178244,0,0,0,-8.089177,37.33703,-996.6255,0,,,
15118,0.009372418,-0.009267699,0.03181735,0,0,0,-8.156855,37.36766,-996.6387,0,,,
15182,0.009320058,-0.009250244,0.03185226,0,0,0,-8.077606,37.35515,-998.1533,0,,,
15247,0.009302605,-0.009250244,0.03186971,0,0,0,-8.433121,37.48901,-997.46,0,,,
15312,0.009267699,-0.009285152,0.03192207,0,0,0,-8.105542,37.43391,-997.7842,0,,,
15377,0.009285152,-0.009285152,0.03197443,0,0,0,-8.342609,30.49354,-1003.25,0,,,
15443,0.009389871,-0.009354965,0.03202679,0,0,0,-7.915764,36.93194,-995.9907,0,,,
15508,0.009372418,-0.009389871,0.03207915,0,0,0,-7.253847,37.49952,-996.6104,0,,,
15572,0.009354965,-0.009389871,0.03213151,0,0,0,-8.161876,35.75658,-1003.905,0,,,
15638,0.009337512,-0.009407324,0.03216642,0,0,0,-8.146395,35.70051,-1005.599,0,,,
15702,0.009320058,-0.009442232,0.03220132,0,0,0,-8.072778,35.74298,-999.8184,0,,,
15767,0.009302605,-0.009459685,0.03223623,0,0,0,-4.780598,36.63384,-996.8228,0,,,
15833,0.009285152,-0.009407324,0.03223623,0,0,0,-7.947968,37.35052,-996.6294,0,,,
15898,0.009215338,-0.009459685,0.03228859,0,0,0,-7.365887,37.44353,-996.6396,0,,,
15962,0.009145525,-0.009285152,0.03234095,0,0,0,-8.964052,37.28683,-1005.624,0,,,
16027,0.009180432,-0.009285152,0.0323584,0,0,0,-8.015084,38.08129,-1005.325,0,,,
16092,0.009215338,-0.009337512,0.0323584,0,0,0,-8.204636,33.24932,-998.0029,0,,,
16158,0.009162978,-0.009407324,0.03242822,0,0,0,-8.129226,37.39001,-996.0591,0,,,
16223,0.009093165,-0.009407324,0.03248058,0,0,0,-8.079525,37.18627,-1003.473,0,,,
16287,0.009075711,-0.009354965,0.03251548,0,0,0,0.910849,36.83847,-1002.114,0,,,
16353,0.009075711,-0.009372418,0.03256784,0,0,0,-8.02498,37.76919,-996.5547,0,,,
