Time(ms),Roll(Rads),Pitch(Rads),Yaw(Rads),VelX(m/s),VelY(m/s),VelZ(m/s),AccX(mm/s^2),AccY(mm/s^2),AccZ(mm/s^2),Altitude(m),,30 second flight 25/02/16. Flat trim and calibrate before takeoff
9814,-0.00439823,0.03476696,0.06401867,0.02331179,-0.1555379,0,-22.43239,57.886,-1002.525,0.666,,
9893,-0.005532694,0.04152138,0.06351253,-0.00168112,-0.1621999,0,-5.878793,60.22926,-1017.716,0.658,,
9971,-0.006021386,0.03900811,0.06368706,0.01820688,-0.1646735,0,-21.65908,68.29663,-1038.603,0.648,,
10049,-0.006248279,0.03385939,0.06330309,0.01932062,-0.1523058,0,-17.55062,63.63245,-1036.698,0.646,,
10126,-0.008429941,0.02872812,0.06356489,-0.01789904,-0.1525831,0,-0.9546539,62.69074,-1044.924,0.639,,
10206,-0.008761552,0.0222704,0.06340781,-0.06658692,-0.1778438,0,-3.256463,68.02713,-1015.81,0.643,,
10282,-0.009669124,0.02062979,0.06239552,-0.0534544,-0.1804363,0,-5.215294,67.83003,-989.9403,0.648,,
10360,-0.009442232,0.02389356,0.06208136,-0.07329462,-0.1513579,0,-4.263388,69.69583,-979.0446,0.651,,
10438,-0.008360127,0.02176426,0.06192428,-0.05648412,-0.1766002,0,-6.093787,58.47604,-983.9937,0.654,,
10517,-0.007068583,0.02127556,0.06122615,-0.07485006,-0.1718585,0,-5.421679,68.19006,-991.7631,0.656,,
10594,-0.007993608,0.02232276,0.06099926,-0.07158282,-0.1813845,0,-0.8183031,68.36054,-994.9993,0.656,,
10672,-0.008464847,0.01890191,0.0609469,-0.06884406,-0.1993039,0,-3.593916,60.58544,-986.9255,0.659,,
10750,-0.006597344,0.0130027,0.0609469,-0.0703705,-0.1641408,0,-1.747163,57.44832,-982.495,0.659,,
10829,0.000977384,0.0082205,0.06103416,-0.07221402,-0.1507601,0,-10.05553,61.94231,-982.4327,0.662,,
10908,0.002949606,0.00455531,0.06066765,-0.07459512,-0.128561,0,-14.7986,64.93907,-984.0138,0.66,,
10985,0.000436332,0.002181662,0.06078982,-0.1241488,-0.1418171,0,3.460874,63.50514,-994.1789,0.659,,
11063,-0.003804818,0.00137881,0.06066765,-0.08246902,-0.1566606,0,-1.648724,55.96818,-1001.381,0.658,,
11141,-0.005602507,0.000593412,0.06070255,-0.06924638,-0.1379666,0,-5.604722,61.07612,-1006.2,0.658,,
11218,-0.009337512,0.00153589,0.06040584,-0.05312526,-0.1063051,0,-4.326053,57.16709,-996.0081,0.659,,
11296,-0.008761552,1.75E-05,0.06105161,-0.03574431,-0.1576993,0,0.992201,56.2571,-997.0389,0.668,,
11374,-0.002408554,0.000191986,0.06129596,-0.02183324,-0.1664463,0,0,0,0,0.67,,
11452,0.005829399,0.000942478,0.06143559,-0.03794024,-0.1461158,0,-5.559449,61.55085,-993.708,0.67,,
11530,0.00270526,0.002356195,0.06072,-0.02315097,-0.1390567,0,-6.389277,65.45815,-1003.149,0.666,,
11608,-0.002600541,0.00275762,0.07138397,-0.02776378,-0.1277431,0,-5.614916,85.4864,-1011.677,0.665,,
11686,-0.003630285,0.005427974,0.06976081,-0.02381361,-0.09800436,0,4.205539,80.45845,-943.9603,0.661,,
