Time(ms),Roll(Rads),Pitch(Rads),Yaw(Rads),VelX(m/s),VelY(m/s),VelZ(m/s),AccX(mm/s^2),AccY(mm/s^2),AccZ(mm/s^2),,,Yaw(degrees)
8760,-0.08895943,0.01761037,1.774249,-0.00584188,-0.2475891,0,-9.16591,50.25146,-949.043,,,101.6569795
8838,-0.1009149,0.01933825,1.774947,0.003111265,-0.341751,0,1.454808,62.61856,-949.845,,,101.696972
8931,-0.09218829,0.01783726,1.776152,0.01391166,-0.3119056,0,0.2712609,62.25415,-954.1387,,,101.7660134
9009,-0.0641234,0.01781981,1.775349,0.01251845,-0.5071634,0,-0.2081139,68.29558,-944.3863,,,101.7200049
9087,-0.03796091,0.01474803,1.775366,0.008550959,-0.2871948,0,6.799411,75.00762,-935.4244,,,101.7209789
9165,-0.01642355,0.01174607,1.775262,0.01573776,-0.2366416,0,10.51665,75.79535,-967.715,,,101.7150201
9244,0.003438299,0.01631883,1.774773,0.06535835,-0.3100841,0,4.438442,72.67333,-995.9879,,,101.6870025
9321,0.0153938,0.02549926,1.774319,0.02642621,-0.2881096,0,8.620397,71.38512,-1001.46,,,101.6609902
9399,0.02556907,0.03028146,1.773865,0.01713621,-0.2327859,0,6.239612,81.38548,-1014.696,,,101.6349779
9477,0.02851868,0.03106686,1.772888,0.00128989,-0.1967825,0,17.89595,67.28086,-1005.461,,,101.5789999
9555,0.0251851,0.03111922,1.773988,0.002312882,-0.194377,0,7.525434,62.25465,-998.3148,,,101.6420253
9633,0.02350958,0.03319616,1.772626,-0.01279075,-0.1652858,0,10.2629,59.26357,-1003.211,,,101.5639885
9711,0.02059488,0.03588397,1.77205,-0.01908881,-0.152943,0,11.33103,54.8041,-992.7486,,,101.5309861
9789,0.01560324,0.03506367,1.77219,-0.02589082,-0.1497228,0,-0.1989448,54.79121,-979.468,,,101.5390075
9867,0.01275836,0.02797763,1.771265,-0.01556752,-0.1459751,0,0,0,0,,,101.4860089
9945,0.008185594,0.01764528,1.771579,-0.02044387,-0.155933,0,4.687511,52.94057,-979.1445,,,101.5039998
10023,0.002443461,0.009337512,1.771108,-0.001896377,-0.1564324,0,12.70324,51.35856,-971.0983,,,101.4770135
10101,-0.01453859,0.000418879,1.771195,0.01880719,-0.194183,0,11.03004,47.91721,-985.6566,,,101.4819982
10180,-0.04595452,-0.006370452,1.771352,0.01408036,-0.2844191,0,16.0854,47.36211,-983.4484,,,101.4909936
10257,-0.07112216,-0.009581858,1.771527,0.02203559,-0.3044952,0,1.440198,48.45167,-973.2045,,,101.5010204
10335,-0.08421213,-0.01284562,1.77116,0.02306535,-0.2809559,0,7.339011,54.32584,-979.5161,,,101.4799928
10413,-0.0824319,-0.01340413,1.771422,0.0366763,-0.2918096,0,6.801564,59.80229,-985.2192,,,101.4950043
10491,-0.07243116,-0.015132,1.771736,0.06535185,-0.2904554,0,10.70392,62.73732,-968.9763,,,101.5129952
10569,-0.05928884,-0.01734857,1.77205,0.04510497,-0.3296647,0,6.356991,68.55338,-977.1826,,,101.5309861
10649,-0.04831071,-0.01701696,1.771719,0.04579514,-0.3211253,0,1.20081,75.51124,-947.2488,,,101.5120212
10725,-0.03790855,-0.01834341,1.771422,0.04793558,-0.3411632,0,5.009893,82.57449,-973.844,,,101.4950043
10805,-0.02516765,-0.01438151,1.771317,0.05107391,-0.4007183,0,-5.676754,71.8417,-1005.664,,,101.4889883
10881,-0.01335177,-0.006806784,1.771055,0.05662471,-0.3903506,0,-1.199831,71.06536,-1001.663,,,101.4739768
10960,-0.003403392,0.007173304,1.771823,0.05180645,-0.3048609,0,0.6157266,64.35645,-1002.447,,,101.5179799
11037,0.004520403,0.01963495,1.772591,0.03991217,-0.3125874,0,0,0,0,,,101.5619831
11115,0.01096067,0.0373675,1.772556,0.01382886,-0.2804396,0,4.147551,86.55661,-999.5766,,,101.5599778
11193,0.00970403,0.04743805,1.772801,0.004460203,-0.35912,0,-0.7474346,63.77876,-981.6444,,,101.5740152
11271,0.01216495,0.04874704,1.77226,-0.01328138,-0.2973385,0,8.351806,70.89692,-987.0423,,,101.5430182
11349,0.01193805,0.04934046,1.772102,-0.01645812,-0.3748142,0,3.835469,66.70985,-999.6335,,,101.5339655
11428,0.008063422,0.05129522,1.772417,-0.02294381,-0.4593674,0,-3.358072,74.67735,-997.9318,,,101.5520136
11505,0.005515241,0.05148721,1.772696,0.003987646,-0.3250419,0,9.120897,61.43867,-1001.655,,,101.5679992
11583,0.002932153,0.05274385,1.772347,-0.03587596,-0.2628293,0,16.47569,65.23305,-995.3409,,,101.5480029
11661,0.000314159,0.05304056,1.77226,-0.07354423,-0.2528359,0,19.59473,57.54326,-995.7564,,,101.5430182
11739,0.001448623,0.04757768,1.772783,-0.05370158,-0.2783498,0,16.46212,61.49957,-987.0284,,,101.5729839
11817,0.003211406,0.04131195,1.773062,-0.06864007,-0.2517672,0,23.6533,59.4285,-981.0573,,,101.5889694
11895,0.002076942,0.03675663,1.773499,-0.06286223,-0.2288997,0,20.83298,56.07593,-973.9484,,,101.6140077
11973,0.001029744,0.03003712,1.774075,-0.07605448,-0.2299886,0,20.995,46.67261,-978.6945,,,101.64701
12051,0.002583087,0.02035054,1.774616,-0.0745088,-0.2046516,0,17.59519,49.64705,-987.1107,,,101.6780071
12129,0.009128072,0.005480334,1.775768,-0.0753955,-0.1863984,0,17.79962,55.17172,-981.6627,,,101.7440118
12207,0.01979203,-0.000942478,1.776605,-0.06051663,-0.1939583,0,29.29489,53.85276,-1001.091,,,101.7919684
12285,0.03843215,-0.006894051,1.776501,-0.03408868,-0.1943516,0,22.58028,48.87954,-996.8148,,,101.7860096
12365,0.04799655,-0.01219985,1.776169,-0.02067481,-0.1460183,0,28.76429,55.61892,-993.92,,,101.7669874
12441,0.03829252,-0.01546362,1.776117,-0.02526545,-0.1494135,0,21.69023,48.42569,-987.7749,,,101.764008
12519,0.02832669,-0.01661553,1.776291,-0.004344632,-0.171891,0,28.61746,34.57847,-993.2116,,,101.7739775
12600,0.01870993,-0.01720895,1.776117,-0.000357575,-0.242038,0,25.22036,34.90524,-980.5933,,,101.764008
12677,0.01446878,-0.01530654,1.777461,-0.00289639,-0.2460162,0,19.2089,37.10388,-985.792,,,101.8410135
12753,0.02087414,-0.01108284,1.777531,0.002350364,-0.2578324,0,21.6535,31.04584,-984.5284,,,101.8450243
12831,0.01741839,-0.008499753,1.776745,0.002181845,-0.2653052,0,15.16832,31.69666,-985.5055,,,101.7999898
12909,0.006265732,-0.007627089,1.776257,-0.09600143,-0.1457017,0,23.78224,23.35478,-967.9359,,,101.7720294
12987,-0.009424779,-0.01157153,1.775157,-0.1470536,-0.003921176,0,10.71296,29.96339,-965.1897,,,101.7090041
13066,-0.03464479,-0.0222355,1.773342,-0.144236,0.04725348,0,19.09663,23.22394,-976.2906,,,101.6050122
13143,-0.06161012,-0.03166027,1.773132,-0.1395235,0.023854,0,13.04217,32.70666,-989.1788,,,101.5929801
13221,-0.08719665,-0.0413643,1.77301,-0.1248635,-0.02285259,0,10.10082,22.82986,-979.7195,,,101.58599
13301,-0.09819222,-0.04523893,1.773167,-0.08243407,-0.02174089,0,7.287276,25.59026,-988.1996,,,101.5949855
13377,-0.1026777,-0.04576253,1.772993,-0.1277416,-0.05861655,0,13.58988,29.54946,-993.351,,,101.585016
13455,-0.1047721,-0.04574508,1.772469,-0.08596677,-0.05556116,0,12.08341,41.96205,-1000.476,,,101.554993
13533,-0.1087864,-0.04776966,1.770619,0.002689767,-0.2043382,0,16.22572,53.03564,-990.5239,,,101.4489958
13611,-0.09929178,-0.04297001,1.769293,0.03781653,-0.2827598,0,4.995539,53.07029,-980.4505,,,101.3730216
13689,-0.09232792,-0.03935718,1.769362,0.04413716,-0.3127649,0,5.109427,59.16432,-985.3252,,,101.376975
13781,-0.08670796,-0.03452261,1.769589,0.04602673,-0.3783898,0,1.795818,61.64544,-994.5623,,,101.3899812
13845,-0.06471681,-0.01146681,1.771562,0.09200485,-0.459183,0,-2.338523,76.28517,-1000.625,,,101.5030257
13925,-0.05262168,-0.002513274,1.773586,0.09459805,-0.4479038,0,-8.870408,72.44476,-987.9197,,,101.6189924
14001,-0.04757768,0.002617994,1.774633,0.07090648,-0.4582249,0,-4.292389,77.76848,-997.225,,,101.6789811
14079,-0.0400204,0.007190756,1.776047,0.07354004,-0.4799651,0,-1.00888,66.85838,-986.3161,,,101.7599973
14157,-0.03321362,0.01076868,1.776955,0.06813966,-0.4577874,0,-6.127207,77.71046,-1000.292,,,101.8120219
14237,-0.03286455,0.01242674,1.778054,0.1206332,-0.4027558,0,4.396167,69.55621,-974.1188,,,101.8749899
14313,-0.03139848,0.01092576,1.777531,0.06695559,-0.5172527,0,-5.377481,79.59097,-972.1079,,,101.8450243
14391,-0.03159046,0.01021018,1.77596,0.03936495,-0.4776087,0,-3.91373,89.04946,-982.7359,,,101.7550126
14471,-0.03363249,0.009040806,1.775209,0.0523445,-0.4836753,0,9.743057,87.2724,-998.3759,,,101.7119835
14547,-0.03560472,0.005183628,1.77507,0.06508323,-0.4540852,0,1.48716,93.03838,-1004.952,,,101.7040193
14625,-0.03755948,0.006981317,1.774738,0.03131285,-0.4608489,0,0.8650767,76.82098,-994.6782,,,101.6849971
14703,-0.03298672,0.008360127,1.774738,0.01796568,-0.5295241,0,0.9112817,83.28996,-1000.475,,,101.6849971
14781,-0.01665044,0.009442232,1.7739,-0.01789331,-0.5955575,0,0.03602314,78.66294,-995.3654,,,101.6369833
14860,0.001029744,0.008674286,1.774354,-0.06614827,-0.5603189,0,4.342305,80.26865,-973.371,,,101.6629956
14937,0.01338668,0.007906342,1.774773,-0.04193441,-0.5202423,0,-6.7026,88.67299,-993.4822,,,101.6870025
