Time(ms),Roll(Rads),Pitch(Rads),Yaw(Rads),VelX(m/s),VelY(m/s),VelZ(m/s),AccX(mm/s^2),AccY(mm/s^2),AccZ(mm/s^2),Altitude(m),,,Short flight 21/02/2017
10801,-0.001291544,0.005113815,2.012312,-0.00605381,-0.02271461,0,15.16166,37.96792,-989.7484,0.707,,,
10866,-0.001134464,0.003351032,2.012923,0.002133087,-0.02665189,0,16.42139,42.97884,-995.0744,0.708,,,
10931,6.98E-05,0.002565634,2.012399,-0.01085233,-0.02181386,0,7.497219,46.71431,-986.4628,0.712,,,
10996,0.001186824,0.000767945,2.011894,-0.007806468,-0.01846084,0,18.78664,39.83889,-1001.506,0.714,,,
11061,0.001448623,0.001047197,2.011492,-0.007032203,-0.01212185,0,15.19292,38.01135,-1000.061,0.715,,,
11126,0.000942478,0.002251475,2.01137,-0.007863727,-0.01285216,0,13.87371,41.28855,-1002.221,0.72,,,
11191,0.000698132,0.003001966,2.011352,-0.006443116,-0.009948811,0,8.153066,38.03718,-994.2548,0.722,,,
11256,0.000296706,0.004764749,2.011143,-0.003049976,-0.0187086,0,0.9250922,45.00733,-988.951,0.723,,,
11321,-0.00020944,0.006178466,2.011073,-0.003355847,-0.007132548,0,14.05817,45.87509,-997.7399,0.724,,,
11386,-0.000523599,0.007906342,2.010759,-0.004266667,-0.01582288,0,13.1672,42.57507,-998.5266,0.728,,,
11451,0.000191986,0.00816814,2.010462,-0.0125541,-0.004405465,0,6.693196,42.93301,-987.6029,0.728,,,
11516,0.001012291,0.006771878,2.010323,-0.009941392,-0.01312803,0,7.555303,49.76009,-984.6404,0.731,,,
11581,0.001308997,0.00397935,2.009886,-0.0143535,-0.005174578,0,13.15197,40.54531,-988.5464,0.734,,,
11646,0.000383972,0.001797689,2.009624,-0.005254189,-4.06E-05,0,17.96314,40.65319,-991.0904,0.737,,,
11711,0.000733038,-0.000890118,2.009433,-0.009470806,0.006526234,0,11.85771,40.1867,-987.0705,0.738,,,
11776,-0.001029744,-0.002042035,2.009048,-0.002110519,0.01592225,0,10.52421,34.69419,-978.4775,0.74,,,
11841,-0.003228859,-0.001151917,2.009171,-0.01463748,-0.001194006,0,13.032,42.13121,-981.5511,0.739,,,
11906,-0.003595378,0.001117011,2.008438,-0.01049021,0.009719276,0,18.41244,44.64967,-993.8216,0.738,,,
11971,-0.00312414,0.006457718,2.008316,-0.01236231,-0.001280317,0,13.79801,46.5051,-994.7512,0.738,,,
12036,-0.003298672,0.0161792,2.007704,-0.01798741,-0.000938766,0,11.73431,34.19527,-995.7625,0.737,,,
12101,-0.004171337,0.02010619,2.007478,-0.02687952,0.001741414,0,8.68095,40.63944,-992.1378,0.741,,,
12166,-0.005131268,0.01881465,2.007146,-0.03468003,0.004572565,0,17.26151,45.68248,-992.2244,0.738,,,
12232,-0.004258603,0.01448623,2.006849,-0.04156972,0.001335695,0,17.31067,42.48811,-998.7012,0.738,,,
12297,-0.003560472,0.009686577,2.006535,-0.0422003,0.006806422,0,11.19885,37.97258,-1005.927,0.739,,,
12362,-0.00270526,0.006579891,2.005732,-0.04225029,0.01647153,0,18.53014,48.91618,-993.226,0.737,,,
12430,-0.001919862,0.00286234,2.004999,-0.04706064,0.01215042,0,20.29505,36.73641,-999.9791,0.74,,,
12495,-0.000593412,-0.000802852,2.004092,-0.04206996,0.01697994,0,16.56695,42.22494,-998.0529,0.738,,,
12560,0.000279253,-0.003543018,2.003289,-0.04289167,0.01018372,0,24.64466,46.16285,-1009.339,0.737,,,
12625,-0.001553343,-0.003822271,2.003027,-0.04381028,0.01567191,0,20.4357,42.88765,-1001.834,0.738,,,
12690,-0.003473205,-0.003298672,2.00273,-0.03595466,0.01048992,0,12.44445,41.15284,-997.3117,0.74,,,
12755,-0.002670354,-0.002199115,2.002748,-0.03248164,0.006867012,0,19.55742,33.56321,-995.9719,0.745,,,
12820,0.003089233,-0.000488692,2.002503,-0.02740001,-0.00787765,0,9.458523,37.14153,-994.7704,0.744,,,
12885,0.007120943,-0.000506146,2.002207,-0.02986028,-0.01418242,0,15.94269,43.98334,-985.7067,0.743,,,
12971,0.008063422,-0.000925025,2.00177,-0.03139927,0.002518032,0,10.15202,41.42368,-991.4243,0.744,,,
13036,0.005899213,-0.002268928,2.000741,-0.02053685,0.01814979,0,9.33556,38.30314,-988.7355,0.746,,,
13101,0.003420845,-0.003804818,2.000269,-0.02325588,0.01329839,0,12.70804,40.34615,-984.2526,0.742,,,
13166,0.001605703,-0.003961897,2.000025,-0.02010073,0.01357624,0,8.863449,28.482,-984.2057,0.743,,,
13231,0.005061455,-0.003595378,2.000025,-0.01782851,0.01226974,0,6.099515,32.88758,-981.2169,0.744,,,
13296,0.007871435,-0.001989675,1.999938,-0.01884728,0.02444297,0,11.4382,45.26204,-981.9142,0.745,,,
13361,0.007888888,-0.001815142,1.999624,-0.0160594,0.003713829,0,8.869598,33.19863,-989.4006,0.742,,,
13426,0.004764749,-0.002426008,1.999711,-0.01219796,0.007688753,0,12.39905,31.255,-986.0406,0.741,,,
13491,0.000558505,-0.002321288,1.999781,-0.01662576,-0.004382068,0,12.85883,36.18701,-988.1558,0.739,,,
13556,-0.002897247,-0.000698132,1.999851,-0.009933762,-0.001040399,0,10.55286,37.35104,-996.1145,0.739,,,
13621,-0.000942478,-0.000366519,1.999833,-0.000824109,-0.005036728,0,14.50884,41.70235,-1011.912,0.736,,,
13686,0.005061455,0.000418879,1.999868,-0.008127236,-0.004486154,0,6.957865,29.48192,-1001.203,0.736,,,
13751,0.008656833,0.000436332,1.999728,-0.01315528,0.01171309,0,10.348,31.64227,-995.2413,0.739,,,
13816,0.007923795,0.001710423,1.999554,-0.000682176,0.002732394,0,18.24506,38.49723,-997.9976,0.732,,,
13881,0.003961897,0.002548181,1.999537,-0.009757258,0.01069158,0,10.10308,36.35265,-1006.827,0.728,,,
13946,-0.000785398,0.003246312,1.999379,-0.01077156,0.01016952,0,11.14236,38.02137,-1006.103,0.729,,,
14011,-0.002984513,0.002617994,2.000112,-0.003029022,0.002755358,0,11.30174,35.61082,-1000.502,0.728,,,
14076,-0.001308997,0.000226893,2.001334,-0.006953578,0.006755268,0,10.65482,32.87698,-1007.401,0.728,,,
14141,0.000959931,-0.001884956,2.001404,-0.01095888,0.006731317,0,4.90093,36.94546,-999.0054,0.726,,,
14207,0.00397935,-0.006003933,2.000933,-0.01027927,0.01138082,0,20.93141,34.38444,-1007.034,0.727,,,
14272,0.004415683,-0.006981317,2.000723,-0.003627043,0.01771227,0,15.73928,30.96309,-998.3093,0.73,,,
14337,0.001972222,-0.005759587,2.000566,0.00907442,0.01447267,0,6.942549,34.0545,-996.5723,0.729,,,
14402,-0.001605703,-0.003700098,2.000304,0.01047482,0.01576632,0,4.846496,34.16087,-992.903,0.729,,,
14467,-0.005410521,-0.00158825,1.999746,0.003309269,0.01265564,0,11.86411,28.60247,-992.5173,0.731,,,
14532,-0.006876597,0.000750492,1.9991,0.004569293,0.008376513,0,15.59649,33.69864,-1000.836,0.73,,,
14597,-0.00895354,0.002059489,1.998873,0.003736861,0.002095005,0,10.88951,33.69725,-986.9117,0.734,,,
14662,-0.007033677,0.002391101,1.998594,-0.004340245,-0.02156177,0,9.314236,40.73701,-993.7961,0.734,,,
14727,0.00127409,0.002199115,1.9991,0.005159257,-0.01058633,0,9.505115,38.4198,-992.4503,0.735,,,
14792,0.01096067,0.001640609,1.999205,0.000746257,-0.0118815,0,10.61796,32.21342,-983.2816,0.736,,,
14857,0.01951278,-0.000890118,1.999048,0.001310698,-0.009758171,0,18.68461,21.83058,-996.9315,0.733,,,
14922,0.02878048,-0.00143117,1.998384,-0.01712626,-0.03300764,0,0,0,0,0.734,,,
14987,0.03787364,-0.001204277,1.997826,-0.004828606,-0.002394177,0,11.79646,36.69176,-990.6309,0.737,,,
15052,0.04417428,-0.000890118,1.996639,0.008227396,0.02342096,0,-2.25407,28.91901,-989.6513,0.738,,,
