Time(ms),Roll(Rads),Pitch(Rads),Yaw(Rads),VelX(m/s),VelY(m/s),VelZ(m/s),AccX(g x 10^3),AccY(g x 10^3),AccZ(g x 10^3),Altitude(m),,,,First odometry csv sampled at 200HZ which is 5ms
815,-0.01075123,0.006283185,0.0622908,0,0,0,0,0,0,0,,,,
822,-0.01075123,0.006283185,0.0622908,0,0,0,0,0,0,0,,,,
826,-0.01075123,0.006283185,0.0622908,0,0,0,0,0,0,0,,,,
831,-0.01075123,0.006283185,0.0622908,0,0,0,0,0,0,0,,,,
836,-0.01075123,0.006283185,0.0622908,0,0,0,0,0,0,0,,,,
841,-0.01075123,0.006283185,0.0622908,0,0,0,0,0,0,0,,,,
846,-0.01082104,0.006248279,0.06236061,0,0,0,0,0,0,0,,,,
851,-0.01082104,0.006248279,0.06236061,0,0,0,0,0,0,0,,,,
856,-0.01082104,0.006248279,0.06236061,0,0,0,0,0,0,0,,,,
861,-0.01082104,0.006248279,0.06236061,0,0,0,0,0,0,0,,,,
866,-0.01082104,0.006248279,0.06236061,0,0,0,0,0,0,0,,,,
871,-0.01082104,0.006248279,0.06236061,0,0,0,0,0,0,0,,,,
876,-0.01082104,0.006248279,0.06236061,0,0,0,0,0,0,0,,,,
881,-0.01082104,0.006248279,0.06236061,0,0,0,0,0,0,0,,,,
886,-0.01082104,0.006248279,0.06236061,0,0,0,0,0,0,0,,,,
891,-0.01082104,0.006248279,0.06236061,0,0,0,0,0,0,0,,,,
896,-0.01082104,0.006248279,0.06236061,0,0,0,0,0,0,0,,,,
901,-0.01082104,0.006248279,0.06236061,0,0,0,0,0,0,0,,,,
906,-0.01082104,0.006248279,0.06236061,0,0,0,0,0,0,0,,,,
911,-0.01090831,0.006248279,0.06241297,0,0,0,0,0,0,0,,,,
916,-0.01090831,0.006248279,0.06241297,0,0,0,0,0,0,0,,,,
921,-0.01090831,0.006248279,0.06241297,0,0,0,0,0,0,0,,,,
926,-0.01090831,0.006248279,0.06241297,0,0,0,0,0,0,0,,,,
931,-0.01090831,0.006248279,0.06241297,0,0,0,0,0,0,0,,,,
936,-0.01090831,0.006248279,0.06241297,0,0,0,0,0,0,0,,,,
941,-0.01090831,0.006248279,0.06241297,0,0,0,0,0,0,0,,,,
946,-0.01090831,0.006248279,0.06241297,0,0,0,0,0,0,0,,,,
951,-0.01090831,0.006248279,0.06241297,0,0,0,0,0,0,0,,,,
956,-0.01090831,0.006248279,0.06241297,0,0,0,0,0,0,0,,,,
961,-0.01090831,0.006248279,0.06241297,0,0,0,0,0,0,0,,,,
966,-0.01090831,0.006248279,0.06241297,0,0,0,0,0,0,0,,,,
971,-0.01090831,0.006248279,0.06241297,0,0,0,0,0,0,0,,,,
976,-0.01075123,0.006178466,0.06246533,0,0,0,0,0,0,0,,,,
981,-0.01075123,0.006178466,0.06246533,0,0,0,0,0,0,0,,,,
986,-0.01075123,0.006178466,0.06246533,0,0,0,0,0,0,0,,,,
991,-0.01075123,0.006178466,0.06246533,0,0,0,0,0,0,0,,,,
996,-0.01075123,0.006178466,0.06246533,0,0,0,0,0,0,0,,,,
1001,-0.01075123,0.006178466,0.06246533,0,0,0,0,0,0,0,,,,
1006,-0.01075123,0.006178466,0.06246533,0,0,0,0,0,0,0,,,,
1011,-0.01075123,0.006178466,0.06246533,0,0,0,0,0,0,0,,,,
1016,-0.01075123,0.006178466,0.06246533,0,0,0,0,0,0,0,,,,
1021,-0.01075123,0.006178466,0.06246533,0,0,0,0,0,0,0,,,,
1026,-0.01075123,0.006178466,0.06246533,0,0,0,0,0,0,0,,,,
1031,-0.01075123,0.006178466,0.06246533,0,0,0,0,0,0,0,,,,
1036,-0.01075123,0.006178466,0.06246533,0,0,0,0,0,0,0,,,,
1041,-0.01068141,0.006126106,0.0625177,0,0,0,0,0,0,0,,,,
1046,-0.01068141,0.006126106,0.0625177,0,0,0,0,0,0,0,,,,
1051,-0.01068141,0.006126106,0.0625177,0,0,0,0,0,0,0,,,,
1056,-0.01068141,0.006126106,0.0625177,0,0,0,0,0,0,0,,,,
1061,-0.01068141,0.006126106,0.0625177,0,0,0,0,0,0,0,,,,
1066,-0.01068141,0.006126106,0.0625177,0,0,0,0,0,0,0,,,,
1071,-0.01068141,0.006126106,0.0625177,0,0,0,0,0,0,0,,,,
