Time,Roll(Rads),Pitch(Rads),Yaw(Rads),VelX(m/s),VelY(m/s),VelZ(m/s),AccX(mm/s^2),AccY(mm/s^2),AccZ(mm/s^2)
19033,-0.003787364,-0.001239184,0.4546932,0,0,0,-31.34404,46.64787,-981.1284
19103,-0.003822271,-0.001239184,0.4546932,0,0,0,-23.13021,46.34037,-975.8267
19173,-0.003857178,-0.00137881,0.4546932,0,0,0,-29.35336,46.59381,-982.5601
19243,-0.003892084,-0.001396263,0.4547281,0,0,0,-29.79102,46.46656,-988.9375
19313,-0.003909538,-0.00148353,0.454763,0,0,0,-23.521,46.08726,-988.8955
19383,-0.003944444,-0.00153589,0.4547455,0,0,0,-28.77109,46.55592,-980.6519
19453,-0.003909538,-0.001413717,0.4547455,0,0,0,-22.94546,46.16838,-987.9258
19523,-0.003874631,-0.001343903,0.4547455,0,0,0,-23.29555,46.44019,-988.8706
19593,-0.003857178,-0.001256637,0.4547455,0,0,0,-23.1741,46.09267,-988.8306
19663,-0.003839724,-0.001186824,0.4547455,0,0,0,-24.77502,46.2902,-989.8081
19733,-0.003822271,-0.001099557,0.4547281,0,0,0,-23.03378,47.57899,-988.9302
19803,-0.003874631,-0.001064651,0.4547281,0,0,0,-23.18928,46.05511,-988.897
19873,-0.003909538,-0.000977384,0.4547455,0,0,0,-23.18618,46.19646,-984.375
19943,-0.003909538,-0.000925025,0.4547455,0,0,0,-23.21635,46.26059,-981.1187
